CTU, POS-X, POS-Y, QP, H_Bit, D_Bits, PSNR-Y, PSNR-U, PSNR-V
0, 000, 000, 37, 12, 86, 37.22, 46.11, 44.28
1, 032, 000, 37, 9, 16, 39.22, 49.07, 45.36
2, 064, 000, 37, 19, 7, 38.76, 46.64, 49.34
3, 096, 000, 0, 3, 0, 36.50, 44.57, 48.56
4, 128, 000, 0, 2, 0, 35.84, 44.97, 43.34
5, 160, 000, 0, 2, 0, 37.68, 45.48, 41.05
6, 192, 000, 37, 8, 43, 38.28, 42.67, 42.68
7, 224, 000, 37, 6, 60, 38.41, 40.28, 43.27
8, 256, 000, 37, 7, 22, 39.34, 43.25, 45.11
9, 288, 000, 37, 19, 0, 37.05, 45.65, 44.65
10, 320, 000, 0, 3, 0, 37.39, 46.65, 43.57
11, 352, 000, 0, 1, 0, 35.90, 47.00, 46.14
12, 384, 000, 0, 19, 0, 32.09, 46.92, 45.28
13, 416, 000, 0, 1, 0, 32.86, 47.19, 45.91
14, 448, 000, 0, 1, 0, 40.33, 46.92, 44.58
15, 480, 000, 0, 2, 0, 38.20, 45.17, 43.77
16, 512, 000, 37, 14, 0, 39.20, 45.09, 45.77
17, 544, 000, 0, 2, 0, 39.54, 45.10, 45.85
18, 576, 000, 0, 2, 0, 39.31, 44.12, 45.36
19, 608, 000, 0, 1, 0, 38.38, 45.70, 46.24
20, 640, 000, 0, 1, 0, 40.42, 46.11, 48.29
21, 672, 000, 0, 1, 0, 39.74, 47.03, 47.11
22, 704, 000, 0, 1, 0, 40.56, 47.95, 47.88
23, 736, 000, 37, 10, 0, 40.43, 45.01, 44.72
24, 768, 000, 0, 2, 0, 39.58, 47.93, 46.78
25, 800, 000, 37, 9, 1, 39.90, 46.42, 46.70
26, 832, 000, 0, 6, 0, 38.95, 47.09, 45.23
27, 864, 000, 0, 1, 0, 39.82, 46.32, 44.65
28, 896, 000, 0, 1, 0, 39.30, 48.08, 47.24
29, 928, 000, 0, 6, 0, 40.57, 46.63, 47.08
30, 960, 000, 0, 1, 0, 38.67, 47.24, 46.17
31, 992, 000, 0, 1, 0, 41.06, 47.95, 46.89
32, 1024, 000, 37, 7, 24, 39.34, 46.38, 47.31
33, 1056, 000, 37, 6, 11, 40.97, 47.84, 46.60
34, 1088, 000, 37, 18, 20, 38.31, 42.84, 44.33
35, 1120, 000, 0, 2, 0, 40.50, 46.44, 46.06
36, 1152, 000, 0, 1, 0, 39.86, 46.71, 45.93
37, 1184, 000, 0, 1, 0, 39.84, 47.31, 47.07
38, 1216, 000, 0, 0, 0, 40.18, 47.22, 47.47
39, 1248, 000, 0, 1, 0, 38.80, 42.51, 48.10
40, 1280, 000, 37, 11, 9, 37.05, 42.19, 41.75
41, 1312, 000, 0, 2, 0, 37.68, 48.18, 50.81
42, 1344, 000, 0, 0, 0, 34.64, 47.59, 47.84
43, 1376, 000, 37, 11, 0, 39.77, 41.28, 46.61
44, 1408, 000, 0, 2, 0, 39.41, 48.29, 48.30
45, 1440, 000, 0, 0, 0, 39.68, 48.50, 48.39
46, 1472, 000, 0, 1, 0, 39.83, 47.44, 47.30
47, 1504, 000, 0, 1, 0, 39.98, 47.24, 47.18
48, 1536, 000, 0, 0, 0, 40.44, 45.59, 46.54
49, 1568, 000, 37, 12, 1, 39.96, 42.43, 41.78
50, 1600, 000, 0, 1, 0, 37.17, 44.10, 43.18
51, 1632, 000, 0, 1, 0, 37.87, 44.44, 44.23
52, 1664, 000, 0, 0, 0, 37.20, 43.86, 44.45
53, 1696, 000, 0, 1, 0, 37.14, 42.52, 43.33
54, 1728, 000, 0, 6, 0, 36.42, 44.01, 44.32
55, 1760, 000, 0, 1, 0, 34.54, 46.09, 44.75
56, 1792, 000, 37, 7, 17, 36.49, 44.97, 43.47
57, 1824, 000, 37, 16, 25, 37.50, 40.73, 43.46
58, 1856, 000, 0, 1, 0, 36.18, 45.15, 48.13
59, 1888, 000, 0, 39, 0, 37.10, 44.48, 49.81
60, 000, 032, 37, 30, 140, 34.01, 39.87, 39.21
61, 032, 032, 37, 13, 14, 36.46, 43.62, 42.15
62, 064, 032, 37, 5, 7, 37.14, 47.44, 48.47
63, 096, 032, 0, 14, 0, 35.39, 42.96, 45.21
64, 128, 032, 37, 12, 39, 37.73, 45.28, 44.53
65, 160, 032, 0, 1, 0, 36.64, 42.40, 37.97
66, 192, 032, 0, 23, 0, 34.50, 41.26, 37.11
67, 224, 032, 0, 1, 0, 37.78, 46.39, 46.80
68, 256, 032, 0, 4, 0, 38.59, 45.17, 43.68
69, 288, 032, 0, 1, 0, 37.65, 45.29, 45.42
70, 320, 032, 0, 1, 0, 34.75, 44.58, 43.71
71, 352, 032, 37, 30, 6, 37.01, 42.45, 44.69
72, 384, 032, 37, 12, 15, 36.72, 43.86, 44.75
73, 416, 032, 37, 19, 21, 35.77, 44.56, 45.53
74, 448, 032, 0, 1, 0, 38.76, 46.52, 45.86
75, 480, 032, 37, 10, 1, 39.23, 45.60, 44.32
76, 512, 032, 0, 5, 0, 38.94, 45.28, 44.98
77, 544, 032, 0, 2, 0, 39.61, 44.52, 44.26
78, 576, 032, 0, 1, 0, 39.06, 43.95, 44.68
79, 608, 032, 0, 1, 0, 38.23, 43.91, 47.19
80, 640, 032, 0, 1, 0, 39.29, 44.06, 48.27
81, 672, 032, 0, 0, 0, 40.62, 48.25, 47.00
82, 704, 032, 0, 1, 0, 39.79, 48.47, 48.29
83, 736, 032, 0, 4, 0, 39.34, 45.96, 45.66
84, 768, 032, 0, 1, 0, 38.56, 44.37, 45.54
85, 800, 032, 37, 11, 1, 38.86, 46.17, 43.81
86, 832, 032, 0, 4, 0, 39.30, 46.05, 46.17
87, 864, 032, 0, 1, 0, 40.05, 47.27, 47.33
88, 896, 032, 0, 0, 0, 40.31, 46.65, 46.91
89, 928, 032, 0, 1, 0, 40.45, 46.00, 47.33
90, 960, 032, 0, 1, 0, 40.32, 46.70, 45.85
91, 992, 032, 0, 1, 0, 41.01, 46.91, 45.74
92, 1024, 032, 0, 0, 0, 40.93, 46.53, 44.50
